NTA,Average Total Savings,Average Job created
Battery Park City-Lower Manhattan,469890.79666666663,1241.142857142857
Bushwick South,26140.455000000005,73.2
Carroll Gardens-Columbia Street-Red Hook,24337.390000000003,62.45454545454545
College Point,17159.372857142855,126.42857142857143
Crown Heights North,4036.298888888889,7.777777777777778
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.340000000004,428.2
East New York,48433.09333333333,149.44444444444446
East Williamsburg,13990.626363636366,37.54545454545455
Greenpoint,9753.649285714284,109.64285714285714
Hunters Point-Sunnyside-West Maspeth,23931.398933333337,134.6
Hunts Point,39246.016153846154,112.6923076923077
Manhattanville,2760.8888888888887,13.444444444444445
Maspeth,6658.283333333334,25.444444444444446
Mott Haven-Port Morris,17843.937857142857,72.78571428571428
Queensbridge-Ravenswood-Long Island City,61830.770625,339.625
SoHo-TriBeCa-Civic Center-Little Italy,37214.024,102.75
Springfield Gardens South-Brookville,17757.662,67.6
Steinway,11227.155714285715,49.0
Sunset Park West,14316.976875000002,36.5625
park-cemetery-etc-Brooklyn,14327.419333333331,43.0
